condition,arena_scale,n,decode_accuracy,ci_low,ci_high,ci_method,bootstrap_samples
full_translation,1,64,0.9467304687500002,0.9443591796875002,0.9490977539062501,percentile_bootstrap,5000
full_translation,1.25,64,0.9490546874999995,0.9462617187499999,0.9516718749999997,percentile_bootstrap,5000
full_translation,1.5,64,0.9481171874999998,0.9451249999999999,0.9508595703124999,percentile_bootstrap,5000
full_translation,2,64,0.9492812500000001,0.94582421875,0.9525625000000002,percentile_bootstrap,5000
partial_translation,1,64,0.9134414062500001,0.9088476562500001,0.9175117187500001,percentile_bootstrap,5000
partial_translation,1.25,64,0.7932031249999999,0.78584716796875,0.8004961914062501,percentile_bootstrap,5000
partial_translation,1.5,64,0.7057421874999997,0.6969760742187497,0.7146607421875001,percentile_bootstrap,5000
partial_translation,2,64,0.7316835937500001,0.7247299804687497,0.7384805664062501,percentile_bootstrap,5000
random_shift,1,64,0.9758984375000003,0.9581794921875004,0.9868320312499994,percentile_bootstrap,5000
random_shift,1.25,64,0.9100624999999997,0.8902022460937498,0.92334775390625,percentile_bootstrap,5000
random_shift,1.5,64,0.7777265625,0.7564805664062498,0.7933094726562502,percentile_bootstrap,5000
random_shift,2,64,0.6148085937499999,0.5974015624999996,0.6284026367187501,percentile_bootstrap,5000
none,1,64,0.9841953124999996,0.9798398437500003,0.9874843749999999,percentile_bootstrap,5000
none,1.25,64,0.80461328125,0.7938240234375002,0.8154691406250002,percentile_bootstrap,5000
none,1.5,64,0.65544921875,0.6450195312500002,0.6653829101562501,percentile_bootstrap,5000
none,2,64,0.48428125000000005,0.47333173828124997,0.4953014648437501,percentile_bootstrap,5000
wrong_group,1,64,0.9853437500000003,0.9828983398437501,0.9874257812500002,percentile_bootstrap,5000
wrong_group,1.25,64,0.8076484374999998,0.7974647460937496,0.8179107421875002,percentile_bootstrap,5000
wrong_group,1.5,64,0.6594804687499998,0.6502966796875,0.6685164062500001,percentile_bootstrap,5000
wrong_group,2,64,0.4887773437500001,0.47880830078125003,0.49853125,percentile_bootstrap,5000
